id,title,content,date
1342593,성수 어디까지 오를려나,20데카 넘기려나?지금이 고점인거 같기도하고.. 좀 털까?,2025-06-18 11:55:05
1342592,레이드 등수 1 2 3 이지랄 띡 해놓은게 갈드컵 시초임,거기에 석궁이 자꾸 타직업 따잇 하는거 보여주니까 더 지랄나고  차라리 카드형으로  근스터헌터처럼 브레이크 몇회  아군 회복 몇회  이렇게 냈으면 모두가 행복한 모비노기였을텐데   - dc official App,2025-06-18 11:54:55
1342591,나 왜 게임 안들어가짐?,뭐임 이게,2025-06-18 11:54:53
1342590,악성재고 다팔리는중,뭐지? 무슨 일이 일어나고 있는 것이지?,2025-06-18 11:54:53
1342589,존버한 2.7석궁 해동하러간다 ㅋㅋ,담주월요일에 지옥5 레어밀고 전격으로 갈아타자잇,2025-06-18 11:54:49
1342588,토요일 짤,14살됐는데 환생석 없나봄신발 사이즈 안맞다고 내놓은거보소개귀엽다,2025-06-18 11:54:48
1342587,내 생각엔 2차 전압 역대급으로 이쁠 듯,이새끼들 섭종하려고 오픈했는데 1400억 벌고 눈돌아서 BM요소에 공들였을 가능성이 있음 서큐버스만 봐도 글라스기브넨은 ㅈㄴ 못생겼는데 갑자기 모델링에 힘 빡 줌,2025-06-18 11:54:42
1342586,사제 여신의 가호 어떨거 같나요,기존에 냉혹쓰고있어서 레이드 항아리 깡 했는데 권능도 아니고 가호가 ;;,2025-06-18 11:54:41
1342585,그래서 전설로브 어따 끼우냐고,어차피 너네 숨기기 해두고 다닐거잖아,2025-06-18 11:54:40
1342584,황야의 섬광어 업댓이후의 벌어질일,"목 - 메인 밀기, 바리밀기, 마스심층 밀기금 - 사이드퀘 싹다 밀기주말 - 이제 머함???",2025-06-18 11:54:24
1342583,황금주괴 이런건 상점에 팔면되는건가요?,그냥 골드 수급용인가..,2025-06-18 11:54:14
1342582,걍 내일 밥상차린거 ㅈㄴ 없음,그니까 지옥으로 물타기 시도하다가 역풍쳐맞지,2025-06-18 11:54:04
1342581,좆과금도 전설압 뽑을수있긴하네,한 2달 원기옥모으면,2025-06-18 11:54:00
1342580,근데 전압세트옵 좋아질거란 애들은 병신임?,여태 에픽압만 3기까지 나왔는데 옵션이 1이라도 달라짐? 쌀숭이라 옷에 돈 안써서 모르나?ㅋㅋ,2025-06-18 11:53:48
1342579,어비스24종 쩔해주실 오빠 있나요,본인 2.3 캄보디아 힐러인데 빨대잘꽂아용,2025-06-18 11:53:45
1342578,3분팟vs5분팟 어느쪽이 dps 잘나옴?,가고일 구경도 못하지만 전투시간 짧은 3분팟vs가고일 피증 낭낭하게 챙겨가지만 클탐 늘어지는 5분팟,2025-06-18 11:53:45
